nombre_alu,apellido,edad,direccion,num_cuenta
Anselmo,Zatarain,26,Veracruz de Ignacio de la Llave_?lamo Temapache_Colonia_Arboledas_92735,2420
Rosa cristina,Cuecuecha,24,Hidalgo_Tulancingo de Bravo_Ejido_Mimila_43703,2421
Eustasio,Denicia,22,Hidalgo_Huazalingo_Barrio_Las Flores_43072,2422
Ma olga,Tizatl,22,Tlaxcala_Santa Cruz Tlaxcala_Barrio_Coxtla_90653,2423
Jose,Bare!o,24,Baja California Sur_La Paz_Poblado comunal_Los Tamales_23244,2424
Alejandra janeth,Centurion,21,Veracruz de Ignacio de la Llave_Tlacotalpan_Ejido_Playa de la Gloria_95467,2425
Juan aurelio,Fdez,26,Jalisco_Zapopan_Colonia_Pinar de La Calma_45080,2426
Socorro adriana,Loera,23,Guanajuato_Irapuato_Colonia_Bernardo Cobos_36610,2427
Jesus arnulfo,Ambario,22,Chihuahua_Aldama_Rancho_La Esperanza_32907,2428
Edilberta,Chantes,21,Zacatecas_Jalpa_Colonia_Lomas de Chapultepec_99609,2429
Erasto,Cansigno,23,Durango_Durango_Fraccionamiento_Hacienda de Tapias_34147,2430
Leticia josefina,Gurrion,22,Hidalgo_San Salvador_Barrio_Lagunilla_42644,2431
Angel alfonso,Demesa,19,Sonora_Altar_Colonia_Las Lomas_83754,2432
Irma teresa,Betanzos,18,Chihuahua_Chihuahua_Colonia_Esperanza_31414,2433
Carlos andres,San roman,18,Guerrero_Chilpancingo de los Bravo_Colonia_Villas del Parador_39095,2434
Cynthia isabel,Celestino,21,Oaxaca_San Blas Atempa_Colonia_San Blas Atempa Centro_70786,2435
Teodosio,Alias,19,Veracruz de Ignacio de la Llave_Yecuatla_Colonia_Yecuatla Centro_93910,2436
Olibia,Motte,26,Guanajuato_Irapuato_Fraccionamiento_Punto Verde_36515,2437
Roberto rafael,Gandarilla,27,Chiapas_Tapachula_Colonia_Teofilo Acebo_30795,2438
Juana de dios,Avechuco,21,Guanajuato_San Luis de la Paz_Colonia_Nueva del Sol_37906,2439
Juan pascual,Xooc,23,Puebla_Hueyapan_Barrio_Buenavista_73923,2440
Aurora isabel,Andon,21,Tamaulipas_Reynosa_Zona industrial_Parque Industrial El Puente (Manimex)_88783,2441
Pedro joaquin,Nic,20,Morelos_Puente de Ixtla_Colonia_El Naranjo_62665,2442
Luisa alejandra,Caamal,25,Durango_Nazas_Ejido_La Jarita_35723,2443
Minervo,Badajoz,25,Coahuila de Zaragoza_Francisco I. Madero_Ejido_El Cinco_27924,2444
Viviana margarita,Ibañez,27,Durango_Durango_Colonia_Luz y Esperanza_34017,2445
Alberto israel,Alcoser,20,Tamaulipas_Reynosa_Fraccionamiento_Villa del Sol_88764,2446
Leticia graciela,Caraza,23,Jalisco_Guadalajara_Fraccionamiento_Eulogio Parra_44670,2447
Juan lucio,De roa,27,Sonora_Cananea_Colonia_La Empacadora_84623,2448
Diana marina,Cabello,22,Jalisco_Guadalajara_Fraccionamiento_Campo de Polo Chapalita_44500,2449
Damiano,Riverol,23,Chihuahua_Chihuahua_Residencial_Campestre Residencial III_31213,2450
Nora olivia,Daniel,21,Coahuila de Zaragoza_Sabinas_Colonia_Chapultepec_26790,2451
Santiago arturo,Tlapale,26,Distrito Federal_Iztapalapa_Colonia_El Manto_9830,2452
Erika vanessa,Caspeta,27,Chiapas_Siltepec_Barrio_El Joval_30985,2453
Fernando roberto,Y zapata,25,Guerrero_General Heliodoro Castillo_Pueblo_El Ahuejote_39142,2454
Nora,Estarron,18,Hidalgo_Actopan_Equipamiento_Unidad Deportiva_42523,2455
Victor augusto,Borras,20,Guerrero_Chilpancingo de los Bravo_Colonia_CNOP Secc C_39015,2456
Leticia,Ballinas,26,Nayarit_Tepic_Fraccionamiento_La Huerta_63070,2457
Juan julian,Valerdi,21,Guanajuato_Romita_Ejido_Guadalupe Jaramillo_36212,2458
Juanita araceli,Vaca,21,Baja California Sur_La Paz_Fraccionamiento_Los Peces_23094,2459
Amancio,Iris,19,Chiapas_Tapachula_Colonia_El Rinconcito_30739,2460
Angelica isabel,Orozco,24,Coahuila de Zaragoza_San Juan de Sabinas_Colonia_Nueva Imagen_26840,2461
Edgar misael,Pool,25,Baja California_Mexicali_Ejido_Ahumadita_21600,2462
Emma guadalupe,Benoso,25,Aguascalientes_Aguascalientes_Fraccionamiento_San Marcos_20078,2463
Manuel alejandro,Morlan,25,Oaxaca_San Jacinto Amilpas_Residencial_Residencial Zaachila_68285,2464
Lilia ana,Alegre,26,Distrito Federal_Tlalpan_Colonia_Guadalupe_14388,2465
Erick omar,Badilla,26,Oaxaca_San Lorenzo Cacaotepec_Colonia_Riveras del Arenal_68263,2466
Edna dinorah,Combera,26,Guerrero_San Marcos_Pueblo_Las Minas_39981,2467
Juanito,Trapero,24,Aguascalientes_Asientos_Ejido_Charco Azul_20705,2468
Rosa amparo,Zepeda,27,Zacatecas_Zacatecas_Colonia_Toma de Zacatecas_98057,2469
Gabriel alonso,Morellano,27,Tabasco_Centro_Colonia_Los Caracoles_86029,2470
Lucerito,King,25,Veracruz de Ignacio de la Llave_Xalapa_Colonia_Del Maestro_91030,2471
Enrique octavio,Agredano,20,Quintana Roo_Cozumel_Colonia_San Miguel 3_77666,2472
Ma.guadalupe,Tzel,21,Guanajuato_Romita_Ejido_Buenavista Chica (San Antonio Chico)_36215,2473
Tomas enrique,Origel,20,Sinaloa_Guasave_Poblado comunal_Campo Filipinas_81162,2474
Karina lizbeth,Tirzo,20,Chihuahua_Guachochi_Ejido_Sicochi_33194,2475
Gustavo,Hueso,23,Durango_Durango_Fraccionamiento_SEDUE_34166,2476
Porfiria,Hermosillo,22,Jalisco_Atoyac_Pueblo_Cuyacapan_49225,2477
Luis gabriel,De olmos,27,Coahuila de Zaragoza_Ocampo_Ejido_La Salada (La Salada Grande)_27517,2478
Eva alejandra,Rameño,21,Coahuila de Zaragoza_Parras_Hacienda_San Lorenzo_27993,2479
Miguel alejandro,Valente,23,Tlaxcala_Xaloztoc_Pueblo_Velazco_90465,2480
Marta elena,Viguri,22,Puebla_Molcaxac_Pueblo_Santa Cruz Huitziltepec_75653,2481
Jose isauro,Pérez,19,Baja California_Tijuana_Colonia_Luna Park_22127,2482
Alejandra elizabeth,Gollaz,25,Tamaulipas_Burgos_Villa_Burgos_88890,2483
Francisco bernardo,Santacruz,23,Sonora_Cajeme_Fraccionamiento_Girasoles_85190,2484
Liova,Nogueda,21,Oaxaca_San Juan Bautista Tuxtepec_Conjunto habitacional_INFONAVIT El Nanche_68360,2485
Christian alejandro,Calnacasco,23,Guanajuato_Irapuato_Ejido_Comedero Grande_36816,2486
Apolinaria,Obeso,24,Sonora_Altar_Colonia_La Otra Banda_83755,2487
Gerardo jose,Estala,19,Puebla_Puebla_Conjunto habitacional_Villas del Carmen_72470,2488
Teresita de los angeles,Tomatzin,26,Sonora_Nogales_Fraccionamiento_La Mesa_84094,2489
Mario edmundo,Escayola,22,Guanajuato_Valle de Santiago_Colonia_Colonia Hoya de ?lvarez_38453,2490
Maria del refugi,Daniels,19,Guanajuato_Silao de la Victoria_Colonia_La Huerta_36119,2491
Jose serafin,Decanini,26,Distrito Federal_Iztapalapa_Colonia_Paraje Zacatepec_9560,2492
Bertha yadira,Guillen,18,Puebla_Huejotzingo_Pueblo_San Miguel Tianguizolco_74160,2493
Jose margarito,Alviso,25,Guanajuato_San Felipe_Pueblo_Providencia de Guadalupe (Estancia)_37610,2494
Gabriela marlene,Sabori,24,Veracruz de Ignacio de la Llave_Xalapa_Fraccionamiento_Villa Centroamericana_91096,2495
Malaquias,Condado,26,Sinaloa_Guasave_Colonia_San Fernando_81043,2496
Maria catalina,Azcue,21,Oaxaca_San Jacinto Amilpas_Colonia_Granjas y Huertos Brenamiel_68285,2497
Hugo sergio,Pinelo,22,Sinaloa_Navolato_Colonia_Amalia Plata_80324,2498
Rosa ana,Olalde,18,Guanajuato_Silao de la Victoria_Colonia_Villas de Silao_36122,2499
Rafael alberto,Barahona,25,Jalisco_La Barca_Colonia_Santa Cecilia_47912,2500
Dinorath,Parral,20,Sinaloa_Badiraguato_Rancho_Caiquiva_80526,2501
Silvano,Marino,27,Aguascalientes_Aguascalientes_Fraccionamiento_San Marcos_20078,2502
Asuncion,Trujeque,21,Puebla_Libres_Colonia_Guerrero_73799,2503
Frumencio,Melena,21,Chiapas_El Porvenir_Barrio_El Roble_30976,2504
Noemi guadalupe,Turrubiate,27,Morelos_Emiliano Zapata_Pueblo_3 de Mayo_62763,2505
Jose hilario,Arano,24,Morelos_Jiutepec_Unidad habitacional_Residencial Lomas de Jiutepec_62566,2506
Blanca josefina,Asbell,23,Sonora_Cajeme_Fraccionamiento_Pioneros_85040,2507
Cesar ricardo,Del olmo,18,Coahuila de Zaragoza_Saltillo_Fraccionamiento_Nuevo Mirasierra 2da Etapa_25016,2508
Teresita del carmen,Alegria,22,Tamaulipas_Ciudad Madero_Colonia_Estadio_89417,2509
Cayetano,Piza,22,Sinaloa_Badiraguato_Rancho_El Zapotillo_80670,2510
Ma. altagracia,Paramo,23,Hidalgo_Cuautepec de Hinojosa_Colonia_La Trinidad_43740,2511
Roger david,Cuapanteca,27,Sonora_Hermosillo_Fraccionamiento_Loma Blanca_83104,2512
Judith eugenia,Collado,19,Chiapas_Tapachula_Ejido_Unidad 2000_30734,2513
Luis eugenio,Ceja,26,Distrito Federal_Gustavo A. Madero_Colonia_Residencial Zacatenco_7369,2514
Maria teresa guadalu,Gauna,26,Chihuahua_Ahumada_Ejido_Rancho Nuevo_32813,2515
Manuel octavio,Eguia,25,Hidalgo_Pachuca de Soto_Colonia_El Palmar I_42088,2516
Marcia,Arrazate,25,Sonora_Cajeme_Pueblo_Pueblo Yaqui_85200,2517
Alejandro jose,Yoc,25,Veracruz de Ignacio de la Llave_Papantla_Colonia_Doctores_93440,2518
Ma edith,Blas,22,Guanajuato_Apaseo el Alto_Colonia_Centro Dos_38503,2519
Jorge alonso,Canizalez,27,Sonora_Cajeme_Colonia_Noroeste_85100,2520
Elsi,De ochoa,26,Jalisco_San Pedro Tlaquepaque_Fraccionamiento_San Francisco_45600,2521
J. dolores,Verona,24,Distrito Federal_Iztapalapa_Unidad habitacional_Ermita Iztapalapa_9360,2522
Mayra melina,Axomulco,22,Sonora_Hermosillo_Colonia_Valle Hermoso_83209,2523
Edgar,Velderrain,23,Sinaloa_Choix_Rancho_La Culebra_81733,2524
Alicia de jesus,Tepetla,24,Nayarit_Tepic_Colonia_Loma Hermosa_63019,2525
Alvaro jose,Servando,21,Jalisco_Mezquitic_Colonia_Centro Mezquitic_46040,2526
Beatriz adrian,Filemon,26,Guerrero_General Canuto A. Neri_Pueblo_Pata de Venado_40490,2527
Juan jose luis,Huicab,24,Hidalgo_Almoloya_Hacienda_Tepepatlaxco_43946,2528
Ana rosario,Soberanez,23,Sinaloa_Mocorito_Colonia_Las Playitas_80805,2529
Isidro alfonso,Cardel,23,Sinaloa_Ahome_Colonia_ing. Heriberto Valdez Romero_81256,2530
Mayra mayela,Ezquivel,19,Veracruz de Ignacio de la Llave_Pueblo Viejo_Colonia_San Isidro_92030,2531
Antonio gabriel,Garduðo,22,Guanajuato_Celaya_Poblado comunal_Roque (ITA)_38110,2532
Brenda margarita,Due#as,23,Jalisco_El Grullo_Colonia_Oriente 1a Secc_48743,2533
Sergio edgar,Gallardo,18,Chihuahua_Guachochi_Ejido_Cajeme_33187,2534
Aida maria,Lizardi,19,Guanajuato_Irapuato_Fraccionamiento_San Pedro_36526,2535
Noe antonio,Erasto,19,Guerrero_Chilapa de ?lvarez_Colonia_Candelaria_41105,2536
Fatima adriana,Laines,27,Hidalgo_Huautla_Ejido_Chiliteco_43052,2537
Alejandro enrique,Parcero,21,Oaxaca_San Miguel Peras_Barrio_Barrio del Rosario_71328,2538
Norma veronica,Tellez giron,20,Chihuahua_Casas Grandes_Rancho_Santa Rosa_31861,2539
Felipe ivan,Troncoso,25,Guanajuato_Romita_Colonia_La Providencia_36205,2540
Rosmery,Huitrado,26,Campeche_Campeche_Ejido_San Antonio Bobola_24520,2541
Nestor martin,Amores,22,Coahuila de Zaragoza_San Pedro_Ejido_Diez de Mayo (Las Casitas)_27944,2542
Adriana yolanda,Echavarria,20,Baja California_Mexicali_Fraccionamiento_Villa Esperanza 2000_21353,2543
Angel luis,Molinares,23,Hidalgo_Pachuca de Soto_Fraccionamiento_Independencia_42088,2544
Monica angelica,Siles,21,Baja California Sur_La Paz_Fraccionamiento_Bugambilias_23090,2545
Guillermo fernando,Florencio,22,Durango_Durango_Fraccionamiento_San Marcos_34225,2546
Rosa norma,Alderete,26,Tamaulipas_Antiguo Morelos_Colonia_Unidad Deportiva_89960,2547
Wilebaldo,Camino,20,Tamaulipas_Matamoros_Fraccionamiento_Lomas de San Juan_87455,2548
Nadia carolina,Soliman,24,Campeche_Campeche_Colonia_Ernesto Zedillo_24023,2549
Angel mario,Nava,20,Tamaulipas_Hidalgo_Ejido_El Cerrito (Ejido)_87803,2550
Martha magdalena,De la torre,27,Coahuila de Zaragoza_San Pedro_Ejido_Candelaria_27954,2551
Victor m,Gtez,24,Sinaloa_Guasave_Ejido_El Huitussi y Anexos (El Huitussito)_81123,2552
Maria goretti,Sumarraga,22,Campeche_Campeche_Fraccionamiento_Residencial los Almendros_24095,2553
Rene jesus,Ye,27,Durango_Santiago Papasquiaro_Colonia_La Turbina_34644,2554
Silvia teresa,Bustillo,25,Guanajuato_Tierra Blanca_Poblado comunal_Cano de San Isidro_37975,2555
Sebastian,Adaya,21,Guerrero_Iguala de la Independencia_Colonia_Florida_40060,2556
Gloria marina,Molinari,24,Chiapas_Escuintla_Colonia_Ojo de Agua I_30607,2557
Aureliano,Andreu,24,Tamaulipas_Matamoros_Fraccionamiento_San Miguel_87453,2558
Nereyda,Rocher,22,Sonora_Santa Ana_Barrio_Las Plaitas_84600,2559
Milton javier,Dosal,26,Campeche_Carmen_Pueblo_Palma Baja_24328,2560
Jova,Soliz,18,Jalisco_Puerto Vallarta_Colonia_El Crucero_48290,2561
Israel alejandro,O,25,Guerrero_Zihuatanejo de Azueta_Colonia_El Calechoso_40894,2562
Hilda elena,Bistrain,24,Chiapas_Villaflores_Ejido_Francisco Villa_30472,2563
Jorge leonel,Durand,22,Zacatecas_Jerez_Fraccionamiento_Popular Del Sol_99323,2564
Marta eugenia,Victoriano,22,Campeche_Carmen_Fraccionamiento_San Francisco_24154,2565
Roberto carlos,Caltzontzin,21,Veracruz de Ignacio de la Llave_Zongolica_Pueblo_Moxala_95003,2566
Martha maribel,Del rivero,23,Jalisco_Tapalpa_Ciudad_Tapalpa_49340,2567
Roberto omar,Gudiño,18,Tamaulipas_Ocampo_Ejido_Santa Maria de Guadalupe (Ejido)_87986,2568
Patricia candelaria,Milanez,18,Guerrero_Alcozauca de Guerrero_Pueblo_Tlahuapa_41670,2569
Edgar armando,Bonillas,22,Hidalgo_Actopan_Poblado comunal_Dajiedhi_42603,2570
Itai,Teoyotl,20,Guanajuato_Victoria_Finca_Sauz de Higueras_37927,2571
Gibran,Borbon,24,Chiapas_Amatenango de la Frontera_Barrio_Hoja Blanca_30943,2572
Guadalupe cristina,Rondero,19,Veracruz de Ignacio de la Llave_Tierra Blanca_Ejido_El Progreso_95217,2573
Osmar,Gudin,18,Guanajuato_Romita_Ejido_Los ?ngeles_36215,2574
Doraly,Ulbaran,26,Veracruz de Ignacio de la Llave_Camerino Z. Mendoza_Colonia_Central Obrera_94745,2575
Michael,Fiol,26,Sinaloa_Guasave_Ejido_Las Brisas (Emiliano Zapata)_81186,2576
Teresita nino je,Organista,25,Veracruz de Ignacio de la Llave_Papantla_Colonia_Adolfo Lopez Mateos_93438,2577
Anibal,Evangelista,19,Baja California_Tijuana_Colonia_Anexa 20 de Noviembre_22100,2578
Dora iliana,Tejedor,18,Baja California_Tijuana_Fraccionamiento_Fuentes del Sol_22665,2579
Ricardo jesus,Torre,18,Sonora_Hermosillo_Fraccionamiento_Valle Dorado_83175,2580
Alma nora,Gaeta,20,Puebla_Guadalupe Victoria_Barrio_Las Juanitas_75040,2581
Victor ariel,Veronica,27,Puebla_Zinacatepec_Colonia_Tlatzala_75960,2582
Juana delia,Asbell,23,Chihuahua_Guachochi_Ejido_Sehuerachi_33198,2583
Oscar hugo,Mendes,22,Jalisco_Lagos de Moreno_Colonia_Torrecillas (El Lindero)_47513,2584
Miriam gisela,Cob,25,Chihuahua_Delicias_Fraccionamiento_Laderas del Valle_33084,2585
Reginaldo,Castaã¿eda,22,Sinaloa_San Ignacio_Colonia_San Ignacio Centro_82910,2586
Maria del ref,Albañez,18,Sonora_Nogales_Fraccionamiento_Lomas del Sol_84086,2587
Jesus oscar,Aburto,27,Baja California_Tijuana_Colonia_Garita Internacional_22430,2588
Lidia lorena,Nogueda,18,Guanajuato_Uriangato_Colonia_24 de Junio_38984,2589
Jose bernardino,Chatu,26,Veracruz de Ignacio de la Llave_Tlapacoyan_Colonia_Miguel de La Madrid Hurtado_93650,2590
Rosa margarit,Gurria,22,Jalisco_Guadalajara_Colonia_Rancho Blanco ?lamo_44890,2591
Abigael,Nuevo,20,Guanajuato_Dolores Hidalgo Cuna de la Independencia Nacional_Colonia_Lomas del Sur_37806,2592
Luz amada,Erives,26,Jalisco_Guadalajara_Colonia_Jardines del Bosque Norte_44520,2593
Cesar ignacio,Tlapalcoyoa,19,Jalisco_Puerto Vallarta_Colonia_Villa las Flores_48335,2594
Maria esperan,De la cerda,24,Tamaulipas_Jaumave_Ejido_Rancho Nuevo_87949,2595
J. martin,Santellanes,27,Guerrero_Atoyac de ?lvarez_Colonia_Moderna_40930,2596
Dalila,Puertos,25,Coahuila de Zaragoza_Saltillo_Colonia_Las Mitras_25140,2597
Hector rene,Del pino,26,Guanajuato_San Miguel de Allende_Fraccionamiento_Real de La Huerta_37754,2598
Ma margarita,Nic,18,Colima_Comala_Colonia_Lomas del Pedregal_28450,2599
Miguel arcangel,Cazales,20,Oaxaca_San Juan Bautista Lo de Soto_Barrio_Secundaria_71620,2600
Yuridia del carmen,Coapango,22,Distrito Federal_Venustiano Carranza_Colonia_Federal_15700,2601
Cesar augusto,Terrazas,21,Veracruz de Ignacio de la Llave_Coatepec_Colonia_Las Cruces_91570,2602
Maria magdalen,Sangabriel,21,Aguascalientes_Aguascalientes_Fraccionamiento_Pensadores Mexicanos_20179,2603
Gustavo alejandro,Cadenas,21,Chihuahua_Saucillo_Gran usuario_42 Zona Militar_33649,2604
Norma elisa,Jaimes,21,Jalisco_La Manzanilla de la Paz_Poblado comunal_La Tuna_49490,2605
Hector abel,Tajia,20,Baja California Sur_Los Cabos_Fraccionamiento_Cerro de los Venados_23473,2606
Dolores rocio,Nanguse,26,Zacatecas_Guadalupe_Fraccionamiento_Privada del Bosque_98610,2607
Santiago alberto,Rossell,24,Sonora_Hermosillo_Colonia_Pimentel_83188,2608
Elda maria,Candela,22,Chiapas_Ixtapa_Ejido_Nuevo San Juan Chamula_29342,2609
Juan rigoberto,Higuera,23,Chiapas_Bochil_Barrio_Reforma 2000_29770,2610
Martha lidia,Tlalmanalco,26,Hidalgo_Santiago Tulantepec de Lugo Guerrero_Colonia_Felipe ?ngeles_43767,2611
Jorge abraham,De la o,25,Durango_Hidalgo_Ejido_El Carrizal_35344,2612
Guadalupe evangelina,Legaspy,22,Coahuila de Zaragoza_Matamoros_Ejido_Monte Alegre_27456,2613
Pablo salvador,Cardeña,27,Chiapas_Socoltenango_Colonia_La Bugambilia_30397,2614
Noemi patricia,Del rosal,20,Guanajuato_Romita_Ejido_Tierras Negras_36210,2615
Artemio,Urban,26,Guerrero_Chilapa de ?lvarez_Colonia_Jardines_41104,2616
Diana rosario,Breceda,27,Baja California_Mexicali_Ejido_Janitzio_21951,2617
J ernesto,Gorrosquieta,20,Veracruz de Ignacio de la Llave_Las Choapas_Pueblo_La Nueva Independencia_96995,2618
Karina janeth,Becto,18,Jalisco_San Pedro Tlaquepaque_Pueblo_Valle de La Misericordia_45615,2619
Jorge antonio,Parreño,19,Nayarit_Tepic_Ejido_San Fernando_63503,2620
Aranzazu,Tavarez,18,Veracruz de Ignacio de la Llave_Playa Vicente_Colonia_Zorrillo_95600,2621
Jorge albe,Popoca,25,Zacatecas_Zacatecas_Colonia_Gustavo Diaz Ordaz 2a Secc_98020,2622
Jhanet,Parra,25,Baja California_Tijuana_Colonia_Ejido Chilpancingo_22440,2623
Jaime enrique,Bizarro,22,Durango_Pueblo Nuevo_Ejido_Las Adjuntas_34957,2624
Ana elvia,Ayohua,23,Baja California_Ensenada_Colonia_Aguajito_22842,2625
Augusto,Berna,21,Chihuahua_Guachochi_Ejido_Repunachi_33196,2626
Lourdes fabiola,Elizarraraz,27,Veracruz de Ignacio de la Llave_Mariano Escobedo_Unidad habitacional_?rbol de Oro_94420,2627
Gilbert,Chigo,24,Sinaloa_Ahome_Fraccionamiento_Los Portales_81295,2628
Maria silvestre,Sanz,23,Guanajuato_Apaseo el Grande_Colonia_Obrera_38164,2629
Ruben francisco,Ahuactzi,21,Chihuahua_Matamoros_Parque industrial_Parque Industrial Parral_33964,2630
Gloria imelda,Choza,23,Distrito Federal_Xochimilco_Campamento_Tototitla_16550,2631
Isac,Pino,26,Guerrero_Chilapa de ?lvarez_Colonia_Corpus Crispi_41104,2632
Janet alejandra,Albares,20,Sonora_Huatabampo_Equipamiento_Playa Huatabampito_85252,2633
Usbaldo,George,19,Jalisco_Guadalajara_Colonia_Americana_44160,2634
Alba guadalupe,Rameño,27,Coahuila de Zaragoza_Parras_Colonia_Valle de Parras_27989,2635
Ademar,Castaã¿eda,20,Tamaulipas_Ciudad Madero_Fraccionamiento_Palmas II_89510,2636
Roxana elizabeth,Rocha,24,Tamaulipas_Matamoros_Ejido_Guadalupe (Ejido)_87569,2637
Jose francisco,Cebrero,20,Jalisco_Zapopan_Fraccionamiento_Real de las Lomas_45200,2638
Lucero elizabeth,Valdovines,21,Hidalgo_Tlanchinol_Pueblo_Chipoco_43156,2639
Crispin,Ferreyra,21,Chiapas_Altamirano_Ejido_Guadalupe Chintultic_30194,2640
Gabriela del carmen,Pozo,19,Durango_Santiago Papasquiaro_Colonia_Loma Linda_34647,2641
Armando silvestre,Esteva,21,Oaxaca_San Pedro Mixtepec -Dto. 22 -_Colonia_Vista Hermosa_71993,2642
Maritza elizabeth,Dina,19,Puebla_Tlatlauquitepec_Barrio_Chinampa_73906,2643
Juan braulio,Tlehuactle,25,Morelos_Jiutepec_Fraccionamiento_Xel-ha_62565,2644
Asunciona,Esquinca,24,Puebla_Chalchicomula de Sesma_Unidad habitacional_28 de Agosto_75520,2645
Victor rene,Rubalcava,25,Baja California_Mexicali_Colonia_Nueva 18 de Marzo_21390,2646
Susana elizabeth,Contreras,23,Hidalgo_Santiago Tulantepec de Lugo Guerrero_Colonia_Paxtepec la Villita_43774,2647
Manuel ernesto,Gtez,26,Veracruz de Ignacio de la Llave_Veracruz_Colonia_Predio 1_91777,2648
Martha eloina,Piñera,21,Jalisco_Puerto Vallarta_Colonia_La Playita_48296,2649
Andres avelino,Ayil,23,Puebla_Cuautlancingo_Fraccionamiento_Residencial Anturios_72700,2650
Analilia,Conzuelo,25,Durango_Guadalupe Victoria_Pueblo_Ignacio Allende_34723,2651
Yovani,Rumualdo,19,Guerrero_Apaxtla_Colonia_Tepeyac_40539,2652
Claudia del socorro,Alaman,25,Puebla_Atlixco_Colonia_El Pedregal_74295,2653
Pablo de jesus,Garayzar,18,Baja California_Tijuana_Colonia_Nido de las ?guilas_22473,2654
Leticia del rosario,Orellan,23,Durango_Durango_Fraccionamiento_Francisco Sarabia_34214,2655
Cayetano,Pastrano,21,Durango_Nuevo Ideal_Ejido_La Zeta_34425,2656
Isadora,Cantellano,24,Guanajuato_Salamanca_Colonia_Los Profesionistas_36744,2657
Hector abel,Urquin,20,Nayarit_Compostela_Ejido_Mamey Grande de Arriba_63722,2658
Ma. edith,Masias,23,Coahuila de Zaragoza_Saltillo_Unidad habitacional_ISSSTE_25280,2659
Eliecer,Cal,25,Puebla_Hermenegildo Galeana_Pueblo_El Coyay_73397,2660
Sonia estela,Reynada,21,Tamaulipas_Tampico_Colonia_Ramos_89268,2661
Victor arturo,Moncayo,25,Chiapas_Chamula_Colonia_Arvenza Dos_29323,2662
Yessica del carmen,Hinojo,27,Hidalgo_Tulancingo de Bravo_Fraccionamiento_Las Glorias III_43700,2663
Gabriel guadalupe,Santin,27,Zacatecas_Zacatecas_Colonia_Primavera_98060,2664
Martha cristina,Pando,27,Chiapas_Chiapa de Corzo_Colonia_Rosario El Nipe_29160,2665
Hector manuel,Echeagaray,22,Puebla_Tecali de Herrera_Pueblo_La Trinidad_75240,2666
Elsa judith,Morfin,21,Guanajuato_Cortazar_Colonia_Magueyes_38342,2667
Jesus enrique,Seis,24,Hidalgo_Huejutla de Reyes_Colonia_Nueva Tenochtitlan_43000,2668
Irma beatriz,Vidal,21,Chihuahua_Chihuahua_Fraccionamiento_Chihuahua Siglo XXI_31136,2669
Irving omar,Valdeolivar,27,Guerrero_Chilapa de ?lvarez_Barrio_Barrio el Calvario_41103,2670
Silvestra,Ferruzca,21,Guerrero_General Heliodoro Castillo_Campamento_Ixtayotla_39131,2671
Jesus enrique,Vea,22,Morelos_Axochiapan_Colonia_Biznaga_62954,2672
Diana alejandrina,Faustino,24,Oaxaca_San Juan Bautista Tuxtepec_Ejido_Camalotal_68447,2673
Wilder,Panduro,26,Tlaxcala_Emiliano Zapata_Pueblo_Emiliano Zapata_90547,2674
Nora alicia,Perpuli,18,Guanajuato_Valle de Santiago_Colonia_El Socorro_38406,2675
Anacleto,Angelina,18,Sonora_Hermosillo_Residencial_Monterosa Residencial_83106,2676
Priscilia,Azcona,23,Morelos_Cuernavaca_Pueblo_El Monasterio_62120,2677
Jose cupertino,Hay,22,Hidalgo_Tepeapulco_Colonia_La Rosa_43998,2678
Ma. natividad,Umegido,23,Chiapas_Salto de Agua_Ejido_Lindavista_29908,2679
Javier alfredo,Mu!oz,23,Sonora_Nogales_Colonia_Los Encinos_84064,2680
Sanchez,Santiuste,22,Zacatecas_Atolinga_Rancho_Los Velas_99734,2681
Jose loreto,Lastire,25,Tabasco_Centro_Fraccionamiento_Puerta Grande_86287,2682
Fatima adriana,Pasaye,24,Jalisco_Jocotepec_Colonia_Los Herrera_45802,2683
Luis eduardo,Cavero,19,Nayarit_San Blas_Campamento_Papelillo_63779,2684
Ana erika,Ireta,27,Veracruz de Ignacio de la Llave_Santiago Tuxtla_Pueblo_Texcochapan de Abajo_95835,2685
Oscar samuel,Pizana,21,Durango_Guadalupe Victoria_Colonia_Las Culecas_34704,2686
Aurora leticia,Baldenebro,18,Oaxaca_Santiago Llano Grande_Pueblo_Llano Grande_71660,2687
Gerardo enrique,Xochipiltecatl,21,Sonora_Guaymas_Fraccionamiento_Villas de San Carlos_85506,2688
Angelica noemi,Rondero,24,Puebla_Cuautlancingo_Conjunto habitacional_Desarrollo Atlatenco_72703,2689
Erubiel,Goldaracena,23,Veracruz de Ignacio de la Llave_?lamo Temapache_Colonia_Progreso_92733,2690
Rita graciela,Coyote,19,Guerrero_Iguala de la Independencia_Colonia_Vicente Guerrero 200_40050,2691
Angel emilio,Calvillo,21,Chihuahua_Bocoyna_Pueblo_Panalachi_33220,2692
Maria silvestre,Herculano,20,Tabasco_Jonuta_Ejido_Playa Larga_86781,2693
Cleto,Vicencio,25,Guanajuato_Romita_Ejido_Nueva Paz de Dios_36212,2694
Carla,Mugarte,23,Campeche_Palizada_Conjunto habitacional_Justicia Social_24200,2695
Guadalupe javier,Livera,22,Jalisco_Guadalajara_Colonia_Bosques de La Cantera_44306,2696
